epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,4674.47,2.00265,2.99645,2.36492,0.28706,0.26776,0.19847,0.07228,2.22496,3.00725,2.76218,0.000770034,0.000770034,0.000770034
95,4724.16,1.98768,2.9894,2.36194,0.30581,0.2414,0.20257,0.06661,2.21005,2.96462,2.76907,0.000766368,0.000766368,0.000766368
96,4774.02,2.02331,2.92288,2.36364,0.31641,0.31237,0.23904,0.0794,2.2018,3.02635,2.80005,0.000762702,0.000762702,0.000762702
97,4823.72,2.00716,2.9497,2.35688,0.34004,0.2728,0.24432,0.08591,2.19432,2.96618,2.76212,0.000759035,0.000759035,0.000759035
98,4873.55,1.99534,2.94643,2.35039,0.3713,0.28872,0.2727,0.10059,2.21697,2.98104,2.77531,0.000755369,0.000755369,0.000755369
99,4923.34,1.99809,2.95497,2.35175,0.37003,0.36891,0.25093,0.09043,2.23128,3.04213,2.84838,0.000751703,0.000751703,0.000751703
100,4972.9,2.0012,2.96231,2.34124,0.2812,0.34075,0.22579,0.0767,2.2296,2.94923,2.80828,0.000748036,0.000748036,0.000748036
101,5022.51,2.01114,2.94763,2.33911,0.33782,0.39158,0.25694,0.09063,2.15911,2.91756,2.69097,0.00074437,0.00074437,0.00074437
102,5072.23,2.00029,2.93334,2.32899,0.31736,0.27675,0.24438,0.09492,2.20867,2.84387,2.7988,0.000740704,0.000740704,0.000740704
103,5121.94,2.01763,2.95999,2.36505,0.31252,0.345,0.2628,0.0913,2.2141,2.93684,2.82325,0.000737037,0.000737037,0.000737037
104,5171.53,1.98355,2.91849,2.33593,0.32544,0.26325,0.24733,0.10589,2.22169,2.90312,2.79613,0.000733371,0.000733371,0.000733371
105,5221.4,2.00689,2.88596,2.32818,0.4007,0.31602,0.25069,0.08778,2.2336,2.94115,2.7981,0.000729705,0.000729705,0.000729705
106,5271.09,2.0201,2.94556,2.3479,0.32672,0.30007,0.28881,0.11822,2.2226,2.86386,2.77634,0.000726038,0.000726038,0.000726038
107,5320.88,2.01174,2.91332,2.35356,0.38022,0.29479,0.26412,0.08809,2.22505,2.88776,2.74407,0.000722372,0.000722372,0.000722372
108,5370.65,1.97778,2.91049,2.34109,0.38436,0.33017,0.2528,0.08663,2.25448,3.02346,2.88156,0.000718706,0.000718706,0.000718706
109,5420.42,2.00187,2.91224,2.32528,0.24536,0.38512,0.24819,0.08863,2.22316,3.05983,2.86948,0.00071504,0.00071504,0.00071504
110,5470.27,1.97488,2.87421,2.33344,0.31032,0.32806,0.28919,0.10983,2.17288,2.82132,2.71864,0.000711373,0.000711373,0.000711373
111,5520.06,1.98744,2.90114,2.35927,0.29806,0.29941,0.25938,0.09297,2.19528,2.84162,2.75056,0.000707707,0.000707707,0.000707707
112,5569.76,1.97732,2.89275,2.33016,0.34026,0.31249,0.27131,0.10237,2.22533,2.83905,2.8057,0.000704041,0.000704041,0.000704041
113,5619.48,2.00488,2.93475,2.33641,0.41975,0.31089,0.285,0.10515,2.2202,2.81188,2.77825,0.000700374,0.000700374,0.000700374
114,5669.11,1.96874,2.84268,2.33099,0.33582,0.38018,0.30538,0.11177,2.21745,2.77613,2.77603,0.000696708,0.000696708,0.000696708
115,5718.77,1.95716,2.85799,2.29921,0.4311,0.23434,0.26179,0.09659,2.26858,2.92254,2.90366,0.000693042,0.000693042,0.000693042
116,5768.42,1.96933,2.82215,2.31343,0.44281,0.35837,0.29908,0.11647,2.18502,2.80858,2.76895,0.000689376,0.000689376,0.000689376
117,5818.01,2.00473,2.8551,2.32635,0.47659,0.35725,0.30759,0.11478,2.23332,2.77697,2.79024,0.000685709,0.000685709,0.000685709
118,5867.5,1.96462,2.82662,2.31918,0.40533,0.37368,0.32486,0.11582,2.22815,2.81963,2.8239,0.000682043,0.000682043,0.000682043
119,5917.14,1.97885,2.83401,2.32246,0.33397,0.33965,0.3069,0.11513,2.23665,2.69878,2.80186,0.000678377,0.000678377,0.000678377
120,5966.72,1.97971,2.81982,2.29773,0.39438,0.35971,0.31021,0.11822,2.19586,2.7756,2.75231,0.00067471,0.00067471,0.00067471
121,6016.49,1.97392,2.78576,2.31034,0.37194,0.39471,0.30963,0.11491,2.23963,2.89052,2.82257,0.000671044,0.000671044,0.000671044
122,6066.01,1.97695,2.80937,2.316,0.40304,0.36781,0.33481,0.14092,2.2006,2.74172,2.73287,0.000667378,0.000667378,0.000667378
123,6115.75,1.96762,2.8047,2.30779,0.4013,0.39514,0.32858,0.12981,2.19875,2.73092,2.76114,0.000663711,0.000663711,0.000663711
124,6165.42,1.94948,2.8156,2.32544,0.37284,0.34523,0.27859,0.11537,2.26079,2.92699,2.86297,0.000660045,0.000660045,0.000660045
